name,type,area,direction,fitment,elevator,total_price,unit_price,property
小石城8区梧桐园,3室2厅,129.32,南,精装,有,326,25209,
黄浦君庭,3室2厅,83.03,南,精装,有,121,14574,
欧洲城,3室2厅,120,南,毛坯,有,505,42084,
家悦花园,3室2厅,121.72,南 北,毛坯,有,335,27523,
金辉融侨城,3室2厅,97.87,南,精装,有,270,27588,
香城花园一区,3室2厅,115.3,南,简装,无,245,21249,
新城招商香溪源,3室2厅,93,南,精装,有,230,24732,
东环新村,2室1厅,50.24,南,精装,无,135,26872,
鑫苑世家,3室2厅,92,南,精装,有,202,21957,
万业湖墅金典,2室2厅,80.37,南,精装,有,220,27374,
彩香二村,2室1厅,58.4,南,精装,无,149,25514,
万科城,3室2厅,93,南,精装,有,232,24947,
金地名悦,3室2厅,128,南,毛坯,有,328,25625,
富力湾四季半岛,2室2厅,89.25,南 北,精装,有,140,15686,
塘坊苑,2室1厅,57.07,南,精装,无,169,29613,
解放新村,2室1厅,57.5,南,简装,无,136,23653,
环秀湖花园,3室2厅,101,南,毛坯,有,229,22674,
新天地家园北区,2室2厅,74.14,南,简装,无,215,29000,
荷花苑,3室2厅,113.61,南,精装,无,323,28431,
大观花园,3室1厅,104,东南 南,精装,无,349,33558,
今创启园,3室2厅,89.4,南 北,精装,有,345,38591,
弘阳上湖,3室2厅,88.76,东,简装,有,298,33574,
润达新村,2室1厅,57.8,南 北,精装,无,139.8,24187,
人民路,2室1厅,67,南,简装,无,308,45971,
二郎巷,1室1厅,35.6,西,简装,无,125,35113,
苏州星健中心,2室1厅,80.5,南 西南 北,简装,商电,141,17516,
桂苑二区,3室2厅,83,南,精装,无,182,21928,
春馨园D区,2室1厅,68.16,南,简装,无,127,18633,
彩香一村三区,2室1厅,55.65,南,简装,无,127,22822,
西塘新村,3室2厅,83.5,南 北,简装,无,195,23354,
常乐新村,2室1厅,54.99,南,简装,暂无数据,88,16003,
三元三村,2室1厅,56.47,南 北,精装,无,148,26209,
龙隐水庄,2室2厅,73.17,南,毛坯,有,75,10251,
欧风丽苑,2室2厅,102.99,南,精装,有,230,22333,
新康花园,3室2厅,116,南,精装,无,300,25863,
万科北宸之光,3室2厅,83,南,精装,有,230,27711,
体育新村,2室2厅,65,南,精装,无,146,22462,
姑香苑,3室2厅,82.47,南,精装,无,215.8,26168,
青年城,3室2厅,70,南,精装,无,188,26858,
滨江裕花园,3室2厅,95.22,南,精装,有,170,17854,
万科北宸之光,3室1厅,83.31,南,精装,有,226.5,27188,
虎阜花园东区,3室2厅,78.06,南 北,毛坯,无,205,26262,
金辉优步水岸,3室2厅,87.68,南 北,精装,有,286,32619,
金益一村,3室2厅,95.32,南,精装,无,258,27067,
中南世纪城(昆山),3室2厅,89.72,南,毛坯,有,148,16496,
苏高新天之运,4室2厅,145.05,南,精装,有,405,27922,
庄先湾散盘,2室1厅,58.72,南,精装,无,239.9,40855,
苏州机电五金城,1室1厅,52,南,简装,未知,28,5385,
金塘新村,2室1厅,61.22,南,精装,无,127.5,20827,
新庄新村,2室1厅,65.5,南,简装,无,134,20459,
胥江路136号,3室1厅,75.07,南,精装,无,175,23312,
万科魅力花园,3室2厅,83.76,南,精装,有,165,19700,
昂内天骄美地,4室2厅,105,南,精装,有,390,37143,
中海御景湾,3室1厅,86.62,南,精装,有,220,25399,
金辉浅湾雅苑,3室1厅,89,南,简装,有,185,20787,
香城花园一区,3室2厅,114,南 北,精装,有,257.5,22588,
倪家苑,3室2厅,109,南,精装,无,205,18808,
万科北宸之光,3室2厅,83.3,南,精装,有,225,27011,
庆元家园,2室2厅,81,南,简装,有,152,18766,
繁华里,3室2厅,87.37,南,毛坯,有,190,21747,
石湖华城,3室2厅,107,南 北,精装,无,268,25047,
宝祥苑,3室1厅,89.66,南,精装,有,187,20857,
时代花园,3室2厅,118,南,精装,有,385,32628,
洪元弄散盘,2室1厅,57,南 北,精装,无,205,35965,
元和之春,3室2厅,136,东南,精装,有,262,19265,
新城香溢澜桥,3室2厅,95,南,精装,有,255,26843,
碧波二村,2室2厅,78.03,南,精装,无,176,22556,
鑫苑世家,4室2厅,116.79,南,精装,有,239.8,20533,
仁恒双湖湾,3室2厅,142.25,南,精装,有,915,64324,
尚城国际花园,1室1厅,46.65,东,精装,有,74.9,16056,
恒基水漾花城,2室1厅,89.9,南,简装,有,212,23582,
西湖花苑,2室2厅,83.4,南 北,精装,无,155,18586,
红旗小区,2室1厅,50.02,东南,简装,无,103,20592,
枫景苑C区,2室1厅,77,南,精装,无,115,14936,
友联一村,2室1厅,63.61,南 北,精装,无,167,26254,
吴中苑小区,3室2厅,144.4,南,精装,无,375,25970,
中南世纪城(昆山),3室2厅,98,南,精装,有,185,18878,
金辉融侨城,3室2厅,98.52,南,精装,有,267.5,27152,
万泾花园,2室1厅,63,南,精装,有,162,25715,
华村苑,3室2厅,145.07,南,精装,有,280,19302,
东港二村,3室1厅,67.8,南,精装,无,246,36284,
香城颐园,4室2厅,130,南,精装,无,301,23154,
九龙仓繁华里,3室2厅,98,南 北,精装,有,435,44388,
观景新村,3室1厅,77.43,南,简装,无,150,19373,
南山金城1958,4室2厅,88,南,精装,有,230,26137,
白鹭名邸,2室1厅,60.95,南,简装,有,100,16407,
吴江新城吾悦广场,1室1厅,57.16,东南 南,精装,有,65.5,11460,
惠宇华庭,3室2厅,93.43,南 北,毛坯,有,278,29755,
保利独墅西岸,3室2厅,116,南,毛坯,有,329,28363,
水月周庄,4室2厅,119.21,南 北,精装,无,200,16778,
万科金色里程,3室1厅,89,南,精装,有,225,25281,
东大街12号院,3室2厅,106,南,精装,无,240,22642,
保利居上,3室2厅,140,南,毛坯,有,430,30715,
万业湖墅金典,2室2厅,81,南,精装,有,216,26667,
嘉元花园北区,2室2厅,76.84,南,精装,无,177,23035,
中海国际社区（三区）,2室1厅,61,南,精装,有,278,45574,
碧波花园,3室2厅,86.57,南,精装,无,192,22179,
东花桥巷散盘,2室2厅,108,南,精装,无,450,41667,
万科北宸之光,3室2厅,85,南,精装,有,224.5,26412,
万科北宸之光,3室2厅,83.33,南,精装,有,223,26762,
新天地家园南区,3室2厅,92,南,简装,无,259,28153,
滨江汇,3室2厅,89,南,精装,有,180,20225,
越湖家天下,2室2厅,80.56,南,简装,有,196,24330,
花桥裕花园,3室2厅,88.1,南 北,毛坯,有,162,18389,
西湖君庭,3室2厅,85.37,南,精装,有,248,29051,
文昌花园,2室2厅,88,南,毛坯,有,175,19887,
三元三村,2室2厅,62.47,南 北,精装,无,143,22891,
花溪畔居南区,2室1厅,83.61,南 北,简装,无,140,16745,
苏锦一村,2室2厅,73.39,南,简装,无,210,28615,
都市花园东区,4室2厅,178.46,南,精装,无,730,40906,
中海8号公馆,3室2厅,106.3,南 北,精装,有,531,49953,
阿卡迪亚五区,2室2厅,97.13,南,精装,有,285,29343,
寺前新村,2室1厅,67.97,南,精装,无,110,16184,
启航社河东,2室1厅,46.32,南,简装,无,94,20294,
太阳星辰花园湖邑,2室2厅,88.71,南 北,精装,有,340,38325,
中海8号公馆,3室2厅,84.68,南 北,精装,有,416,49127,
香堤澜湾,2室2厅,75.62,南,精装,有,210,27771,
绿地滨江雅苑,4室2厅,132,南,精装,有,210,15910,
森隆满园,3室2厅,95,南 北,精装,有,140,14737,
金雅苑,3室2厅,86.09,南 北,精装,有,225,26136,
中海国际社区（六区）,3室2厅,106,南,精装,有,488,46038,
星榈湾,3室2厅,106.72,南,精装,有,225,21084,
首开悦澜湾,3室2厅,89.86,南,精装,有,324,36057,
中海双湾花园一期,3室2厅,87.32,南,精装,有,259,29662,
中科花苑,1室1厅,59.29,南,毛坯,有,43,7253,
中联二期澄湖花园,1室1厅,47,南,精装,暂无数据,88,18724,
彩香二村,2室1厅,49.1,南,精装,无,118,24033,
三香新村,3室1厅,79.2,南,简装,无,145,18309,
小石城2区玉兰园,3室2厅,91,南,精装,有,230,25275,
风华苑,3室2厅,129.52,南 北,简装,有,300,23163,
世茂东壹号,2室1厅,104,南,精装,有,174,16731,
阳光水榭花园,3室2厅,93.66,南,精装,有,265,28294,
阳光城丽景湾,4室2厅,125.77,南,精装,无,359.5,28584,
中海御景湾,3室2厅,86.74,南,毛坯,有,205,23634,
中海8号公馆,2室2厅,81.74,南,精装,有,429,52484,
嘉宝花园三期,3室2厅,104.1,南 东南,精装,无,270,25937,
金地名悦,3室2厅,93.45,南,毛坯,有,243,26004,
左岸尚海湾,3室2厅,137.04,南 北,简装,无,239.5,17477,
诚河新旅城一区,3室2厅,106,南 北,精装,无,248,23397,
惠宇华庭,3室2厅,92.76,南,毛坯,有,240,25874,
中海双湾花园一期,3室2厅,87.44,南,精装,有,259,29621,
万科北宸之光,3室2厅,88.7,南,精装,有,222,25029,
南环一村,3室2厅,76.25,南,精装,无,175,22951,
越湖家天下,3室2厅,106,南,精装,无,296,27925,
绿地滨江雅苑,3室2厅,109,南,精装,有,180,16514,
中海国际社区（七区）,4室2厅,141.41,南 北,毛坯,有,670,47380,
友联一村,3室2厅,86.43,南,毛坯,无,184.8,21382,
森隆蓝波湾,2室2厅,89,南 北,精装,无,120,13484,
弘阳上湖,3室2厅,101,南 北,精装,有,343,33961,
金秋家园,3室1厅,83.19,南,毛坯,有,205,24643,
华府庄园,3室2厅,97.91,南,精装,暂无数据,186,18998,
万科碧桂园,3室2厅,106.58,南,精装,有,276,25897,
御花园玫瑰园,2室2厅,71.85,南,简装,无,380,52888,
东港二村,2室1厅,58,南,简装,无,227,39138,
启航社河东,2室1厅,71,南 北,精装,有,125,17606,
星湖名轩,2室1厅,62.59,南,精装,有,218,34830,
万科未来之城,3室1厅,89.39,南 北,毛坯,有,138,15438,
彩香一村三区,2室2厅,76.21,南,简装,无,172,22570,
象屿都城,2室2厅,65.07,南,毛坯,有,120,18442,
万科未来之城,3室1厅,89,南,毛坯,有,138,15506,
湖岸名家南区,3室2厅,116.03,南,精装,有,285,24563,
金辉优步花园,3室2厅,88,南,精装,有,307.5,34944,
越湖花园,2室2厅,80.4,南,简装,无,176,21891,
金桥新村,2室2厅,71.53,南,精装,无,165,23068,
世茂東外滩,3室2厅,113.9,南,毛坯,有,205,17999,
鲈乡四区,3室1厅,92.69,南,精装,无,156,16831,
维纳阳光花园南区,3室2厅,80,南 北,精装,有,227.5,28438,
天亚水景城,3室1厅,94.08,南,精装,有,202,21472,
四季晶华,2室2厅,86.4,东南 南,精装,有,370,42825,
仁安街新村,2室1厅,47.32,南,精装,无,110,23246,
滨江裕花园,2室2厅,72,南,精装,有,121,16806,
里河新村（二三四村）,2室1厅,45.98,南,简装,无,113,24576,
和泰家园,2室1厅,74.39,南,简装,有,166,22315,
九方城天悦,1室1厅,54.3,北,精装,有,97,17864,
新湖明珠城紫桂苑,3室1厅,89.76,南,毛坯,有,220,24510,
彩香二村,2室1厅,53.27,南,精装,无,158.8,29811,
现代花园,2室1厅,78.95,南,简装,无,202,25586,
友联一村,2室1厅,64.6,南,简装,无,153,23685,
恒基水漾花城,2室1厅,89.21,南 北,精装,有,226,25334,
庆元家园,2室2厅,80.03,南,简装,有,152,18993,
新区港龙城市商业广场,2室2厅,47,南,精装,商电,72,15320,
香城花园二区,2室2厅,94.37,南,精装,无,226,23949,
宝祥苑,2室1厅,65,南,精装,有,132,20308,
宝祥苑,2室2厅,79.09,南,精装,有,170,21495,
友联二村,2室1厅,61.3,南,精装,无,132,21534,
景瑞东环之歌,3室2厅,84.64,南 北,精装,有,180.8,21362,
鑫之苑,2室2厅,85.4,南,毛坯,有,210,24591,
长欣苑,2室1厅,90,南,精装,无,230,25556,
解放新村,2室1厅,53.7,南,精装,无,129,24023,
阳光水榭花园,3室2厅,135.5,南,其他,无,318,23469,
绿地萃雅苑,3室2厅,92.65,南,毛坯,有,245,26444,
惠丰花园,2室1厅,60.68,南,简装,无,135,22248,
官渎花园,2室1厅,57.34,南,精装,无,141,24591,
三元一村,2室2厅,69.4,南,精装,无,168,24208,
葑谊新村南区,2室1厅,50,南,简装,无,127.7,25540,
苏安新村,2室1厅,47.48,南,简装,无,129.5,27275,
三元三村,2室1厅,54.5,南,精装,无,139,25505,
蓝光天悦城,3室2厅,100,南,精装,有,295,29500,
橡树湾花园,2室2厅,79.2,南,精装,有,195,24622,
红叶花园一区,1室2厅,71.32,南,毛坯,暂无数据,133,18649,
绿地21城D区,2室2厅,74.8,南,精装,有,142,18984,
普罗旺斯,2室1厅,59.91,南,精装,有,102,17026,
绿地江南华府,3室2厅,112.27,南,毛坯,有,215,19151,
常发豪郡南区,2室1厅,75,南,毛坯,有,90,12000,
象屿都城,2室1厅,69.07,西南,精装,有,145,20994,
中海国际社区（六区）,3室2厅,94.39,南 北,精装,有,440,46616,
九龙仓风华里,3室2厅,101,南,精装,有,538,53268,
世茂蝶湖湾,2室2厅,79.88,南,精装,有,99.8,12494,
锦绣园,2室2厅,89.49,南,精装,暂无数据,117.5,13130,
茶风商苑,2室1厅,65,南,精装,有,81,12462,
菁英汇,2室1厅,77.91,南,精装,有,130,16686,
花苑新村（花桥）,2室2厅,96.83,南 北,毛坯,无,135,13942,
万达广场(姑苏区),1室1厅,51.72,东南,简装,有,148.5,28713,
西中市散盘,2室1厅,54.45,南,简装,暂无数据,108,19835,
东百花巷,2室1厅,54.12,南,精装,无,236,43607,
中海御景湾,3室2厅,88.22,南,精装,有,215,24371,
都市花园西区,3室2厅,118,南,精装,有,580,49153,
香榭水岸,3室2厅,121,南,精装,有,313,25868,
新康花园,3室2厅,131,南 北,精装,有,335,25573,
万科未来之城,3室2厅,89,南,精装,有,150,16854,
合景叠翠峰,3室2厅,89,南 北,精装,有,283,31798,
城市公寓,3室2厅,161.82,南,精装,有,349.9,21623,
恒基旭辉发现岛,2室1厅,48.67,南,精装,商电,94,19314,
万科北宸之光,3室2厅,83.3,南 北,精装,有,221,26531,
新创宝带熙岸,3室2厅,121,南,精装,有,295,24381,
美之国花园,3室2厅,122.49,南,简装,无,269,21961,
冠南苑,3室2厅,137,南,精装,有,340,24818,
高浜一村,4室2厅,111,南,简装,无,204,18379,
海亮香榭时光,1室1厅,40,西,精装,2.75元/m3,43,10750,
凯悦大厦,1室1厅,39.37,北,精装,有,63,16003,
苏锦一村,2室1厅,59,南,简装,无,166,28136,
三元二村,2室1厅,61.92,南,简装,无,142,22933,
大唐花苑南区,1室1厅,55,南,精装,暂无数据,58,10546,
三元四村,2室1厅,58.72,南,简装,无,151,25716,
官渎花园,2室1厅,58,南,简装,无,139,23966,
万科魅力花园,4室2厅,123,南 北,精装,有,224,18212,
新城石湖公馆,3室2厅,95.23,南,精装,有,247.8,26022,
新华舍,3室2厅,91,南,毛坯,有,170,18682,
昆山花园,3室2厅,139.6,南 北,精装,暂无数据,245,17551,
云锦苑二区,3室2厅,90,南,精装,有,175,19445,
棕榈湾,3室2厅,105.35,南,精装,有,235,22307,
盘蠡花园,2室2厅,93.6,南,精装,无,247,26389,
水语金成花园,3室2厅,93,南 西南,精装,有,240,25807,
桐泾南路510号,2室1厅,57.84,南,简装,无,110,19018,
首创悦都,3室2厅,93,南,精装,有,165,17742,
新城香溢澜桥,3室1厅,95,南,精装,有,255,26843,
汇翠花园,3室1厅,76.83,南 北,简装,无,235,30588,
鑫苑国际城市花园(虎丘区),3室1厅,90.05,南,精装,有,329,36536,
合景睿峰,3室1厅,46.65,北,精装,有,59,12648,
全功路社区,3室2厅,103.24,南,精装,暂无数据,77,7459,
保利居上,3室2厅,86.85,南,精装,有,280,32240,
嘉宝梦之晨,3室2厅,89.8,南,精装,有,185,20602,
东湖大郡一期东区,3室2厅,141.75,南,毛坯,有,555,39154,
首开班芙春天花园,4室2厅,144.36,南,精装,有,317,21959,
富华苑,2室2厅,86.84,南,精装,无,269,30977,
冠城大通蓝湾,2室2厅,84.84,南,精装,有,170,20038,
嘉元路1069号附院,4室2厅,141.05,南 北,精装,无,256,18150,
首开国风华府,3室2厅,91,南,精装,有,220,24176,
南山柠檬花园柠府,3室2厅,94,南,毛坯,有,212,22554,
城邦花园东区,3室2厅,129,南,精装,有,544,42171,
绿色时光花园西区,2室2厅,82,南,简装,有,155,18903,
恒基水漾花城,3室2厅,115.66,南,精装,有,315,27235,
招商依云华苑,3室2厅,89,南,精装,有,234.8,26383,
越湖家天下,3室2厅,101,南,精装,无,289,28614,
柳家浜,3室1厅,80.6,南,精装,无,184,22829,
东环新村,2室1厅,66.7,南,精装,暂无数据,190,28486,
玫瑰湾,2室2厅,75.38,南,其他,有,130,17246,
永林新村,2室1厅,48.12,南,精装,无,125,25977,
蓬曦园A4区,2室1厅,63,南 北,精装,无,95,15080,
先奇园北区,3室2厅,87.4,西,精装,无,178,20367,
彩香一村三区,2室1厅,53.28,南,简装,无,126,23649,
彩香一村四区,3室1厅,70,南,精装,无,174,24858,
百灵佳苑南区,2室2厅,88,南 北,简装,无,120,13637,
首开班芙春天花园,3室2厅,100,南,精装,有,240,24000,
新城红树湾,3室2厅,86,南,精装,有,205,23838,
锦华园,3室1厅,86,南,简装,暂无数据,130,15117,
鑫苑国际城市花园(虎丘区),3室1厅,87.85,南,精装,有,285,32442,
永林新村,3室1厅,80,南,简装,无,195,24375,
合景叠翠峰,3室2厅,89.8,南,精装,有,273,30401,
朗诗未来街区,3室2厅,77,南,精装,无,295,38312,
新城香溢澜桥,3室2厅,92.6,南,精装,有,245,26458,
彩香一村五区,3室2厅,78.11,东南,简装,无,170,21765,
国际华城,2室2厅,92,南,精装,无,165,17935,
冠城大通蓝湾,3室2厅,122.23,南,精装,有,220,17999,
中海国际社区（三区）,3室1厅,89.13,南,精装,有,440,49367,
小石城6区香樟园,3室2厅,89.95,南,精装,有,223,24792,
旭辉苹果乐园,3室2厅,89,南,简装,有,183,20562,
佳兆业君汇上品,3室2厅,93.68,南,精装,有,230,24552,
首开国风华府,3室2厅,89,南,精装,有,220,24720,
新南环新村四组团,2室2厅,72.8,南,精装,有,190,26099,
领秀金品花苑,2室1厅,63.47,南,简装,有,145,22846,
永林二区,3室2厅,85.07,南 北,精装,无,252,29623,
伟业迎春丽家,2室2厅,78.32,南,精装,有,174.8,22319,
宝祥苑,2室1厅,78,北 南,精装,有,155,19872,
安元佳苑三区,2室2厅,66.07,南,精装,无,158,23915,
红旗小区,2室1厅,47.68,南,精装,无,115,24120,
中央景城,4室2厅,140.77,南 北,精装,有,800,56831,
嘉和丽园,2室2厅,97,南 北,精装,有,197,20310,
胥江路136号,5室1厅,87.32,南,精装,无,214,24508,
徐家浜新村,3室2厅,132.74,南,毛坯,无,255,19211,
水岸清华瀚宫,3室2厅,135.12,南,简装,有,338,25015,
阳光天地,2室1厅,76.3,南,精装,有,228,29883,
苏州铂悦府,4室2厅,141.49,南,精装,有,810,57248,
万盛园,2室1厅,63.86,南,毛坯,有,80,12528,
和美家园,3室1厅,94.89,南,精装,有,192,20234,
中海国际社区（三区）,1室1厅,61.09,南,精装,有,289,47308,
启航社河东,1室2厅,53.83,南,精装,有,87,16162,
珠江首府,1室1厅,48.36,南,简装,民电,46.5,9616,
悬珠花园西区,1室1厅,51.36,南,精装,无,130,25312,
三元二村,2室1厅,58.95,南,简装,无,145,24598,
南浩街5号,2室1厅,34.32,南,精装,无,98,28555,
枫情佳苑,4室2厅,159,南 北,精装,无,150,9434,
水月周庄,5室3厅,121,南,毛坯,叠拼,169,13967,
红星国际生活广场,3室2厅,128.47,南 北,毛坯,有,288,22418,
中吴红玺御园,4室2厅,184.45,南,毛坯,有,274,14855,
保利悦玺,3室2厅,119.6,南,精装,有,418,34950,
九龙仓繁华里,3室1厅,98,南,精装,有,455,46429,
都市VIP,1室1厅,54.16,北,精装,商电,55,10156,
娄江新村(姑苏区),3室1厅,83.97,南,精装,无,215,25605,
阳光城丽景湾,3室2厅,93,南,精装,有,187,20108,
解放新村,2室1厅,56.31,南,简装,无,118,20956,
阳光水韵,2室2厅,77.5,南,精装,无,189,24388,
绿景苏州公馆,1室1厅,50.62,南,精装,2.75元/m3,76,15014,
绿地21城D区,2室2厅,74.8,南 北,精装,无,142,18984,
白塘壹号,2室2厅,83.84,南,精装,有,375,44729,
优山美地,2室1厅,54,南,精装,有,184,34075,
高浜二村,1室1厅,45,南,精装,无,125,27778,
越湖家天下,2室1厅,87.77,南,精装,有,230,26205,
美华西村,2室1厅,63,南,精装,无,112,17778,
里河一村,2室1厅,57.26,南,精装,无,139.2,24311,
都市VIP,1室2厅,51,北,精装,商电,62,12157,
三香新村,2室1厅,48.63,南,精装,无,105,21592,
恒基水漾花城,2室2厅,79.26,南,精装,有,209.9,26483,
浒墅人家三区,2室2厅,108,南,精装,有,189,17500,
尚青景苑,2室1厅,66.1,东 西,精装,有,115,17398,
宝祥苑,2室2厅,79.99,南,精装,有,167,20878,
苏悦广场,1室1厅,63.27,西,精装,有,520,82188,
美之国花园,3室2厅,105.26,南,简装,无,261,24796,
加城湖滨公寓,3室2厅,133.67,南,精装,有,644,48179,
恒基水漾花城,3室1厅,88.28,南,毛坯,有,220,24921,
招商依云华苑,3室2厅,110,南 北,精装,有,280,25455,
香城花园三区,3室2厅,123,南,精装,无,305,24797,
娄江新村(姑苏区),2室1厅,45.25,南 北,简装,无,125,27625,
新苑村,3室2厅,71,南,精装,无,165,23240,
